volume,issn,id,type,pages,title,authors,number,url,year,doi
,1573-7608,10.1007/s10639-025-13452-5,article,,Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Manuel B. Garcia,,https://doi.org/10.1007/s10639-025-13452-5,2025,10.1007/s10639-025-13452-5
,1573-7608,10.1007/s10639-025-13468-x,article,,Computational thinking tools for early years education: a design study,"Sarah Matthews, Maria Nicholas, Lisa Kervin, Louise Paatsch, Peta Wyeth",,https://doi.org/10.1007/s10639-025-13468-x,2025,10.1007/s10639-025-13468-x
,1573-7608,10.1007/s10639-025-13478-9,article,,A new era in early childhood education (ECE): Teachers’ opinions on the application of artificial intelligence,"Esra Betül Kölemen, Bekir Yıldırım",,https://doi.org/10.1007/s10639-025-13478-9,2025,10.1007/s10639-025-13478-9
50,1573-1707,10.1007/s10643-021-01188-z,article,699--708,Noticing and Naming Computational Thinking During Play,"Donna Kotsopoulos, Lisa Floyd, Brandon Allan Dickson, Vivian Nelson, Samantha Makosz",4,https://doi.org/10.1007/s10643-021-01188-z,2022,10.1007/s10643-021-01188-z
50,1573-1707,10.1007/s10643-021-01236-8,article,969--981,Can Pre-school Children Learn Programming and Coding Through Guided Play Activities? A Case Study in Computational Thinking,"Valerie Critten, Hannah Hagon, David Messer",6,https://doi.org/10.1007/s10643-021-01236-8,2022,10.1007/s10643-021-01236-8
51,1573-1707,10.1007/s10643-022-01319-0,article,457--468,Classroom Play and Activities to Support Computational Thinking Development in Early Childhood,"Joohi Lee, Candace Joswick, Kathryn Pole",3,https://doi.org/10.1007/s10643-022-01319-0,2023,10.1007/s10643-022-01319-0
52,1573-1707,10.1007/s10643-023-01475-x,article,769--782,Young Children’s Experience in Unplugged Activities About Computational Thinking: From an Embodied Cognition Perspective,"Wanqing Hu, Ruiyan Huang, Yanyan Li",4,https://doi.org/10.1007/s10643-023-01475-x,2024,10.1007/s10643-023-01475-x
53,1573-1707,10.1007/s10643-023-01581-w,article,393--403,Embracing Culturally Relevant Computational Thinking in the Preschool Classroom: Leveraging Familiar Contexts for New Learning,"Margaret F. Quinn, Lori A. Caudle, Frances K. Harper",2,https://doi.org/10.1007/s10643-023-01581-w,2025,10.1007/s10643-023-01581-w
,1573-1707,10.1007/s10643-024-01694-w,article,,Examining Young Children’s Computational Thinking through Animation Art,"Suzannie K. Y. Leung, Joseph Wu, Jenny Wanyi Li, Yung Lam, Oi-Lam Ng",,https://doi.org/10.1007/s10643-024-01694-w,2024,10.1007/s10643-024-01694-w
,1573-1707,10.1007/s10643-024-01728-3,article,,Design-Based Digital Story Program: Enhancing Coding and Computational Thinking Skills in Early Childhood Education,"Şermin Metin, Damla Kalyenci, Mehmet Başaran, Emily Relkin, Büşra Bilir",,https://doi.org/10.1007/s10643-024-01728-3,2024,10.1007/s10643-024-01728-3
,1573-1707,10.1007/s10643-024-01746-1,article,,Unplugged: Planting and Growing the Seed of Replacement in Four-Year Old-Children,"Amber Simpson, Rebecca Borowski, Ashleigh Colquhoun, Zhengqi Hu",,https://doi.org/10.1007/s10643-024-01746-1,2024,10.1007/s10643-024-01746-1
,1573-1707,10.1007/s10643-024-01825-3,article,,Asset-Based Computational Thinking in Early Childhood Classrooms: Centering Students’ Expertise in a Community of Learners,"Lori Czop Assaf, Sean Justice",,https://doi.org/10.1007/s10643-024-01825-3,2024,10.1007/s10643-024-01825-3
35,1573-336X,10.1007/s10648-023-09754-0,article,35,“Valued” Thinking in Education: Liberating the Narrative,"P. Karen Murphy, Tyler M. Ogata, Eric C. Schoute",1,https://doi.org/10.1007/s10648-023-09754-0,2023,10.1007/s10648-023-09754-0
36,1573-336X,10.1007/s10648-024-09911-z,article,72,Seeking a Comprehensive Theory About the Development of Scientific Thinking,"Doug Lombardi, Gale M. Sinatra, Janelle M. Bailey, Lucas P. Butler",3,https://doi.org/10.1007/s10648-024-09911-z,2024,10.1007/s10648-024-09911-z
114,1573-0816,10.1007/s10649-023-10218-z,article,89--108,Unfolding algebraic thinking from a cognitive perspective,"Maria Chimoni, Demetra Pitta-Pantazi, Constantinos Christou",1,https://doi.org/10.1007/s10649-023-10218-z,2023,10.1007/s10649-023-10218-z
114,1573-0816,10.1007/s10649-023-10237-w,article,223--248,Multiple pathways for developing functional thinking in elementary mathematics textbooks: a case study in China,"Rui Ding, Rongjin Huang, Xixi Deng",2,https://doi.org/10.1007/s10649-023-10237-w,2023,10.1007/s10649-023-10237-w
115,1573-0816,10.1007/s10649-023-10275-4,article,151--176,Mathematical modelling as a vehicle for eliciting algorithmic thinking,Timothy H. Lehmann,2,https://doi.org/10.1007/s10649-023-10275-4,2024,10.1007/s10649-023-10275-4
115,1573-0816,10.1007/s10649-024-10303-x,article,433--458,Generalizing actions with the subtraction-compensation property: primary students’ algebraic thinking with tasks involving vertical towers of blocks,"Karina J. Wilkie, Sarah Hopkins",3,https://doi.org/10.1007/s10649-024-10303-x,2024,10.1007/s10649-024-10303-x
117,1573-0816,10.1007/s10649-024-10330-8,article,215--238,Development of high school students’ conceptions of sampling distribution in the context of learning significance tests with technology,"Ernesto Sánchez, Victor Nozair García-Ríos, Francisco Sepúlveda",2,https://doi.org/10.1007/s10649-024-10330-8,2024,10.1007/s10649-024-10330-8
118,1573-0816,10.1007/s10649-024-10351-3,article,479--503,Secondary school students’ strategies when interpreting histograms and case-value plots: an eye-tracking study,"Lonneke Boels, Arthur Bakker, Wim Van Dooren, Paul Drijvers",3,https://doi.org/10.1007/s10649-024-10351-3,2025,10.1007/s10649-024-10351-3
,1573-0816,10.1007/s10649-024-10383-9,article,,Telling the story of a diagram: affective and aesthetic mathematical experiences,"Francesca Ferrara, Giulia Ferrari",,https://doi.org/10.1007/s10649-024-10383-9,2025,10.1007/s10649-024-10383-9
90,1572-8420,10.1007/s10670-023-00696-1,article,237--261,Same but Different: Providing a Probabilistic Foundation for the Feature-Matching Approach to Similarity and Categorization,Nina Poth,1,https://doi.org/10.1007/s10670-023-00696-1,2025,10.1007/s10670-023-00696-1
,1572-8420,10.1007/s10670-024-00909-1,article,,Concept Learning: Convexity Versus Connectedness,"Igor Douven, Steven Verheyen",,https://doi.org/10.1007/s10670-024-00909-1,2024,10.1007/s10670-024-00909-1
25,1572-8439,10.1007/s10676-023-09717-7,article,46,Cognitive warfare: an ethical analysis,Seumas Miller,3,https://doi.org/10.1007/s10676-023-09717-7,2023,10.1007/s10676-023-09717-7
26,1572-8439,10.1007/s10676-024-09777-3,article,41,"A phenomenology and epistemology of large language models: transparency, trust, and trustworthiness","Richard Heersmink, Barend Rooij, María Jimena Clavel Vázquez, Matteo Colombo",3,https://doi.org/10.1007/s10676-024-09777-3,2024,10.1007/s10676-024-09777-3
58,1572-8099,10.1007/s10694-021-01184-0,article,1011--1038,OpenFIRE: An Open Computational Framework for Structural Response to Real Fires,"Aatif Ali Khan, Mustesin Ali Khan, Chao Zhang, Liming Jiang, Asif Usmani",2,https://doi.org/10.1007/s10694-021-01184-0,2022,10.1007/s10694-021-01184-0
23,1572-8463,10.1007/s10698-020-09369-1,article,41--58,Watch the colors: or about qualitative thinking in chemistry,Wojciech Grochala,1,https://doi.org/10.1007/s10698-020-09369-1,2021,10.1007/s10698-020-09369-1
27,1572-8471,10.1007/s10699-020-09732-7,article,171--187,Thinking Technology Big Again. Reconsidering the Question of the Transcendental and ‘Technology with a Capital T’ in the Light of the Anthropocene,Pieter Lemmens,1,https://doi.org/10.1007/s10699-020-09732-7,2022,10.1007/s10699-020-09732-7
28,1572-8471,10.1007/s10699-022-09878-6,article,1085--1110,From Turing to Peirce. A semiotic interpretation of computation,Luca M. Possati,4,https://doi.org/10.1007/s10699-022-09878-6,2023,10.1007/s10699-022-09878-6
54,1572-9516,10.1007/s10701-024-00763-9,article,33,Foundational Issues in Group Field Theory,Álvaro Mozota Frauca,3,https://doi.org/10.1007/s10701-024-00763-9,2024,10.1007/s10701-024-00763-9
32,1572-9907,10.1007/s10726-023-09818-0,article,569--601,A Competency Framework for Participatory Modeling,"Sondoss Elsawah, Elena Bakhanova, Raimo P. Hämäläinen, Alexey Voinov",3,https://doi.org/10.1007/s10726-023-09818-0,2023,10.1007/s10726-023-09818-0
,1573-174X,10.1007/s10734-024-01345-4,article,,Programming education across disciplines: a nationwide study of Danish higher education,"Sebastian Mateos Nicolajsen, Sofie Nielsen, Louise Meier Carlsen, Claus Brabrand",,https://doi.org/10.1007/s10734-024-01345-4,2024,10.1007/s10734-024-01345-4
36,1572-8501,10.1007/s10743-019-09257-3,article,25--45,How Do Mental Processes Preserve Truth? Husserl’s Discovery of the Computational Theory of Mind,Jesse Daniel Lopes,1,https://doi.org/10.1007/s10743-019-09257-3,2020,10.1007/s10743-019-09257-3
39,1572-8501,10.1007/s10743-022-09315-3,article,47--68,Phenomenology as Proto-Computationalism: Do the Prolegomena Indicate a Computational Reading of the Logical Investigations?,Jesse D. Lopes,1,https://doi.org/10.1007/s10743-022-09315-3,2023,10.1007/s10743-022-09315-3
25,2211-1670,10.1007/s10758-018-9391-y,article,179--195,"The Effects of Using Different Tools in Programming Teaching of Secondary School Students on Engagement, Computational Thinking and Reflective Thinking Skills for Problem Solving",Hatice Yildiz Durak,1,https://doi.org/10.1007/s10758-018-9391-y,2020,10.1007/s10758-018-9391-y
25,2211-1670,10.1007/s10758-019-09423-8,article,213--224,An Emerging Technology Report on Computational Toys in Early Childhood,"Megan Hamilton, Jody Clarke-Midura, Jessica F. Shumway, Victor R. Lee",1,https://doi.org/10.1007/s10758-019-09423-8,2020,10.1007/s10758-019-09423-8
27,2211-1670,10.1007/s10758-021-09529-y,article,1155--1169,Modelling the Effect of TPACK and Computational Thinking on Classroom Management in Technology Enriched Courses,Mustafa Saritepeci,4,https://doi.org/10.1007/s10758-021-09529-y,2022,10.1007/s10758-021-09529-y
28,2211-1670,10.1007/s10758-021-09562-x,article,241--251,Measuring Acceptance of Block-Based Coding Environments,Radu Bogdan Toma,1,https://doi.org/10.1007/s10758-021-09562-x,2023,10.1007/s10758-021-09562-x
28,2211-1670,10.1007/s10758-021-09565-8,article,165--184,Modeling of Relationship of Personal and Affective Variables With Computational Thinking and Programming,"Hatice Yildiz Durak, Mustafa Saritepeci, Aykut Durak",1,https://doi.org/10.1007/s10758-021-09565-8,2023,10.1007/s10758-021-09565-8
28,2211-1670,10.1007/s10758-021-09585-4,article,1485--1513,A Comparison of Plugged and Unplugged Tools in Teaching Algorithms at the K-12 Level for Computational Thinking Skills,"Aycan Çelik Kirçali, Nesrin Özdener",4,https://doi.org/10.1007/s10758-021-09585-4,2023,10.1007/s10758-021-09585-4
28,2211-1670,10.1007/s10758-021-09587-2,article,539--568,Computational Thinking Assessment – Towards More Vivid Interpretations,"Josef Guggemos, Sabine Seufert, Marcos Román-González",2,https://doi.org/10.1007/s10758-021-09587-2,2023,10.1007/s10758-021-09587-2
28,2211-1670,10.1007/s10758-022-09593-y,article,1515--1537,Preparing Pre-Service Teachers for Computational Thinking Skills and its Teaching: A Convergent Mixed-Method Study,"Esra Tankiz, Nilüfer Atman Uslu",4,https://doi.org/10.1007/s10758-022-09593-y,2023,10.1007/s10758-022-09593-y
28,2211-1670,10.1007/s10758-022-09601-1,article,1815--1824,The WearableLearning Platform: A Computational Thinking Tool Supporting Game Design and Active Play,"Ivon Arroyo, Avery Harrison Closser, Francisco Castro, Hannah Smith, Erin Ottmar, Matthew Micciolo",4,https://doi.org/10.1007/s10758-022-09601-1,2023,10.1007/s10758-022-09601-1
28,2211-1670,10.1007/s10758-022-09606-w,article,1301--1324,The State of Computational Thinking in Libraries,"David Weintrop, Mega Subramaniam, Shandra Morehouse, Nitzan Koren",3,https://doi.org/10.1007/s10758-022-09606-w,2023,10.1007/s10758-022-09606-w
28,2211-1670,10.1007/s10758-022-09629-3,article,1539--1569,"Design, Implementation, and Evaluation of a Professional Development Program for Teachers to Teach Computational Thinking via Robotics","Servet Kılıç, Ünal Çakıroğlu",4,https://doi.org/10.1007/s10758-022-09629-3,2023,10.1007/s10758-022-09629-3
29,2211-1670,10.1007/s10758-022-09636-4,article,21--43,Scaffolding Computational Thinking Through Block Coding: A Learner Experience Design Study,"Andrew A. Tawfik, Linda Payne, Andrew M. Olney",1,https://doi.org/10.1007/s10758-022-09636-4,2024,10.1007/s10758-022-09636-4
,2211-1670,10.1007/s10758-024-09737-2,article,,Predicting Low and High Student Performance in Programming Education Using PLS-SEM Algorithms,"Aykut Durak, Vahide Bulut",,https://doi.org/10.1007/s10758-024-09737-2,2024,10.1007/s10758-024-09737-2
30,2211-1670,10.1007/s10758-024-09765-y,article,63--118,Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review,"Amos Oyelere Sunday, Friday Joseph Agbo, Jarkko Suhonen",1,https://doi.org/10.1007/s10758-024-09765-y,2025,10.1007/s10758-024-09765-y
,2211-1670,10.1007/s10758-024-09777-8,article,,"The Competent Computational Thinking Test (cCTt): A Valid, Reliable and Gender-Fair Test for Longitudinal CT Studies in Grades 3–6","Laila El-Hamamsy, María Zapata-Cáceres, Estefanía Martín-Barroso, Francesco Mondada, Jessica Dehler Zufferey, Barbara Bruno, Marcos Román-González",,https://doi.org/10.1007/s10758-024-09777-8,2025,10.1007/s10758-024-09777-8
,2211-1670,10.1007/s10758-024-09809-3,article,,"Supporting Choices for Educational Robotics Tools for Early Childhood Settings: Considerations, Characteristics, and Categories","Annèl Rooyen, Ronel Callaghan",,https://doi.org/10.1007/s10758-024-09809-3,2025,10.1007/s10758-024-09809-3
,2211-1670,10.1007/s10758-025-09826-w,article,,Embodied Learning Experiences of Early Elementary Students in Computational Thinking Education,"Kyungbin Kwon, Keunjae Kim, Chen Zhou, Minji Jeon",,https://doi.org/10.1007/s10758-025-09826-w,2025,10.1007/s10758-025-09826-w
,2211-1670,10.1007/s10758-025-09833-x,article,,FADE-CTP: A Framework for the Analysis and Design of Educational Computational Thinking Problems,"Giorgia Adorni, Alberto Piatti, Engin Bumbacher, Lucio Negrini, Francesco Mondada, Dorit Assaf, Francesca Mangili, Luca Maria Gambardella",,https://doi.org/10.1007/s10758-025-09833-x,2025,10.1007/s10758-025-09833-x
21,1573-1774,10.1007/s10763-021-10245-3,article,49--69,School-Type Difference Among Rural Grade Four Malaysian Students’ Performance in Solving Mathematics Word Problems Involving Higher Order Thinking Skills,"Menaga Suseelan, Cheng Meng Chew, Huan Chin",1,https://doi.org/10.1007/s10763-021-10245-3,2023,10.1007/s10763-021-10245-3
21,1573-1774,10.1007/s10763-022-10250-0,article,71--91,Does this Answer Make Sense? Primary School Students and Adults Judge the Reasonableness of Computational Results in Context-Based and Context-Free Mathematical Tasks,"Dimitrios Deslis, Despoina Desli",1,https://doi.org/10.1007/s10763-022-10250-0,2023,10.1007/s10763-022-10250-0
22,1573-1774,10.1007/s10763-023-10359-w,article,189--209,Systematic Validation in Science Learning Progression Research,"Hui Jin, Hyo Jeong Shin, Dante Cisterna",1,https://doi.org/10.1007/s10763-023-10359-w,2024,10.1007/s10763-023-10359-w
22,1573-1774,10.1007/s10763-023-10426-2,article,1173--1195,Integrating Computational Thinking into Geoscientific Inquiry About Volcanic Eruption Hazards and Risks,"Christopher Lore, Hee-Sun Lee, Amy Pallant, Charles Connor, Jie Chao",6,https://doi.org/10.1007/s10763-023-10426-2,2024,10.1007/s10763-023-10426-2
23,1573-1774,10.1007/s10763-024-10465-3,article,365--386,Differences in Students’ Computational Thinking Activities when Designing an Algorithm for Drawing Plane Figures,Carina Büscher,2,https://doi.org/10.1007/s10763-024-10465-3,2025,10.1007/s10763-024-10465-3
23,1573-1774,10.1007/s10763-024-10493-z,article,689--711,Revisiting the Relationship of Arithmetical Thinking and Letter-Symbolic Algebra,"Demetra Pitta-Pantazi, Maria Chimoni, Constantinos Christou",3,https://doi.org/10.1007/s10763-024-10493-z,2025,10.1007/s10763-024-10493-z
22,1573-1774,10.1007/s10763-024-10509-8,article,145--165,"Enhancing Students’ Emotional, Epistemic, and Conceptual Aspects in Scientific Practice through Computational Modeling on a Food Web","Moonhyun Han, Janghee Uhm",1,https://doi.org/10.1007/s10763-024-10509-8,2024,10.1007/s10763-024-10509-8
,1573-1774,10.1007/s10763-024-10511-0,article,,Transforming Tomorrow: A Practical Synthesis of STEAM and PBL for Empowering Students’ Creative Thinking,Hsu-Chan Kuo,,https://doi.org/10.1007/s10763-024-10511-0,2024,10.1007/s10763-024-10511-0
,1573-1774,10.1007/s10763-024-10512-z,article,,A clash of epistemic tools: computer programming and paper-and-pencil in secondary school mathematics problem solving,"Wendy Huang, Chee-Kit Looi, Misong Kim",,https://doi.org/10.1007/s10763-024-10512-z,2024,10.1007/s10763-024-10512-z
,1573-1774,10.1007/s10763-025-10556-9,article,,Mathematical Thinking behind Coding: Promoting Generalization Skills via Scratch,"Ünal Çakıroğlu, Emrah Muştu",,https://doi.org/10.1007/s10763-025-10556-9,2025,10.1007/s10763-025-10556-9
55,1573-1790,10.1007/s10780-024-09513-2,article,75--91,Towards a Socio-Constructivist Didactic Model for Integrated STEM Education,"Radu Bogdan Toma, Iraya Yánez-Pérez, Jesús Ángel Meneses-Villagrá",1,https://doi.org/10.1007/s10780-024-09513-2,2024,10.1007/s10780-024-09513-2
31,1573-1804,10.1007/s10798-019-09559-9,article,203--222,The influence of SRA programming on algorithmic thinking and self-efficacy using Lego robotics in two types of instruction,"Nardie L. J. A. Fanchamps, Lou Slangen, Paul Hennissen, Marcus Specht",2,https://doi.org/10.1007/s10798-019-09559-9,2021,10.1007/s10798-019-09559-9
31,1573-1804,10.1007/s10798-020-09562-5,article,441--464,Computational thinking embedded in engineering design: capturing computational thinking of children in an informal engineering design activity,"Hoda Ehsan, Abeera P. Rehmat, Monica E. Cardella",3,https://doi.org/10.1007/s10798-020-09562-5,2021,10.1007/s10798-020-09562-5
32,1573-1804,10.1007/s10798-020-09590-1,article,447--477,Using systems thinking to understand the evolving role of technology in the design process,"Amy M. Huber, Lisa K. Waxman, Connie Dyar",1,https://doi.org/10.1007/s10798-020-09590-1,2022,10.1007/s10798-020-09590-1
32,1573-1804,10.1007/s10798-020-09638-2,article,1121--1158,A computational model for subjective evaluation of novelty in descriptive aptitude,"Nandita Bhanja Chaudhuri, Debayan Dhar, Pradeep G. Yammiyavar",2,https://doi.org/10.1007/s10798-020-09638-2,2022,10.1007/s10798-020-09638-2
32,1573-1804,10.1007/s10798-021-09677-3,article,1983--2002,Cultivating students’ computational thinking through student–robot interactions in robotics education,"Jing Ru Qu, Ping Kwan Fok",4,https://doi.org/10.1007/s10798-021-09677-3,2022,10.1007/s10798-021-09677-3
32,1573-1804,10.1007/s10798-021-09679-1,article,2019--2037,Promoting second graders’ attitudes towards technology through computational thinking instruction,"Javier Olmo-Muñoz, Ramón Cózar-Gutiérrez, José Antonio González-Calero",4,https://doi.org/10.1007/s10798-021-09679-1,2022,10.1007/s10798-021-09679-1
32,1573-1804,10.1007/s10798-021-09702-5,article,2403--2424,Development and effectiveness evaluation of a STEM-based game-design project for preservice primary teacher education,"Fu-Hsing Tsai, Hsien-Sheng Hsiao, Kuang-Chao Yu, Kuen-Yi Lin",5,https://doi.org/10.1007/s10798-021-09702-5,2022,10.1007/s10798-021-09702-5
33,1573-1804,10.1007/s10798-022-09750-5,article,863--881,Bringing computational thinking to technology education classrooms: Hacking car activity for middle schools in the republic of korea,"Woongbin Park, Hyuksoo Kwon",3,https://doi.org/10.1007/s10798-022-09750-5,2023,10.1007/s10798-022-09750-5
33,1573-1804,10.1007/s10798-022-09777-8,article,1499--1523,Building a sustainable model of integrated stem education: investigating secondary school STEM classes after an integrated STEM project,"Jung Han, Todd Kelley, J. Geoff Knowles",4,https://doi.org/10.1007/s10798-022-09777-8,2023,10.1007/s10798-022-09777-8
33,1573-1804,10.1007/s10798-022-09788-5,article,1627--1651,Developing creative material in STEM courses using integrated engineering design based on APOS theory,"Hua-Xu Zhong, Chin-Feng Lai, Jui-Hung Chang, Po-Sheng Chiu",4,https://doi.org/10.1007/s10798-022-09788-5,2023,10.1007/s10798-022-09788-5
34,1573-1804,10.1007/s10798-023-09810-4,article,75--107,"Impacts of maker education-design thinking integration on knowledge, creative tendencies, and perceptions of the engineering profession","Wei Xu, Jia-Chen Chen, Ye-feng Lou, Hang Chen",1,https://doi.org/10.1007/s10798-023-09810-4,2024,10.1007/s10798-023-09810-4
34,1573-1804,10.1007/s10798-023-09811-3,article,191--227,Developing pre-service teachers’ computational thinking: a systematic literature review,"Wei Dong, Yongjie Li, Lihui Sun, Yiran Liu",1,https://doi.org/10.1007/s10798-023-09811-3,2024,10.1007/s10798-023-09811-3
34,1573-1804,10.1007/s10798-023-09853-7,article,1145--1169,Learning by Evaluating (LbE): promoting meaningful reasoning in the context of engineering design thinking using Adaptive Comparative Judgment (ACJ),"Nathan Mentzer, Wonki Lee, Andrew Jackson, Scott Bartholomew",3,https://doi.org/10.1007/s10798-023-09853-7,2024,10.1007/s10798-023-09853-7
34,1573-1804,10.1007/s10798-024-09888-4,article,1835--1857,Correlation analysis between sub-element of technological thinking disposition and computational thinking of gifted students in South Korea,"Yong-Woon Choi, In-gyu Go, Yeong-Jae Gil",5,https://doi.org/10.1007/s10798-024-09888-4,2024,10.1007/s10798-024-09888-4
35,1573-1804,10.1007/s10798-024-09905-6,article,3--24,Robotics in universal prekindergarten classrooms,"Tess Levinson, Marina Bers",1,https://doi.org/10.1007/s10798-024-09905-6,2025,10.1007/s10798-024-09905-6
,1573-1804,10.1007/s10798-024-09916-3,article,,A card-based design tool for supporting design thinking in elementary students,"Ioannis Arvanitakis, George Palaigeorgiou, Tharrenos Bratitsis",,https://doi.org/10.1007/s10798-024-09916-3,2024,10.1007/s10798-024-09916-3
,1573-1804,10.1007/s10798-024-09922-5,article,,Framework for measuring high school students’ design thinking competency in STE(A)M education,"Ta Thanh Trung, Do Hanh Ngan, Nguyen Hoai Nam, Le Thi Thuy Quynh",,https://doi.org/10.1007/s10798-024-09922-5,2024,10.1007/s10798-024-09922-5
,1573-1804,10.1007/s10798-024-09927-0,article,,Adapting engineering design thinking for sustainability,"Geetanjali Date, Sanjay Chandrasekharan",,https://doi.org/10.1007/s10798-024-09927-0,2024,10.1007/s10798-024-09927-0
,1573-1804,10.1007/s10798-024-09954-x,article,,Cultivation and practice of computational thinking in Project-based teaching,"Jiaci Lin, Qijiang Shu, Rong Chen, Chunlin Gao, Kaiqing Xu, Keli Yin, Fuhua Yang",,https://doi.org/10.1007/s10798-024-09954-x,2024,10.1007/s10798-024-09954-x
21,1573-7667,10.1007/s10799-019-00299-9,article,15--28,Knowledge representation for computational thinking using knowledge discovery computing,"Youngseok Lee, Jungwon Cho",1,https://doi.org/10.1007/s10799-019-00299-9,2020,10.1007/s10799-019-00299-9
,1572-8544,10.1007/s10805-025-09595-2,article,,Characteristics of Global Retracted Publications in Engineering Sciences: A Bibliometric Analysis,"Shahnaz Khademizadeh, Sara Dakhesh, Brady Lund",,https://doi.org/10.1007/s10805-025-09595-2,2025,10.1007/s10805-025-09595-2
31,1573-7764,10.1007/s10816-023-09603-y,article,227--250,"Connecting Posthumanist Thinking with GIS Practice: Explorations of a Prehistoric Heathland Landscape in Jutland, Denmark",Mark Haughton,1,https://doi.org/10.1007/s10816-023-09603-y,2024,10.1007/s10816-023-09603-y
36,1572-8145,10.1007/s10845-023-02246-6,article,95--145,"Ontology of 3D virtual modeling in digital twin: a review, analysis and thinking","Yuchen Wang, Xinheng Wang, Ang Liu, Junqing Zhang, Jinhua Zhang",1,https://doi.org/10.1007/s10845-023-02246-6,2025,10.1007/s10845-023-02246-6
36,1572-8145,10.1007/s10845-024-02339-w,article,1761--1779,Collaborative optimization of manufacturing service allocation via multi-task transfer learning evolutionary approach,"Jiajun Zhou, Liang Gao, Chao Lu, Xifan Yao",3,https://doi.org/10.1007/s10845-024-02339-w,2025,10.1007/s10845-024-02339-w
110,1573-0409,10.1007/s10846-024-02082-7,article,49,Developing Computational Thinking in Middle School with an Educational Robotics Resource,"Almir de O. Costa Junior, Elloá B. Guedes, João Paulo F. Silva, José Anglada Rivera",2,https://doi.org/10.1007/s10846-024-02082-7,2024,10.1007/s10846-024-02082-7
25,1573-1820,10.1007/s10857-021-09508-1,article,581--598,Special educators’ knowledge of student mathematical thinking,"Jessica H. Hunt, Kristi Martin, Blain Patterson, Andy Khounmeuang",5,https://doi.org/10.1007/s10857-021-09508-1,2022,10.1007/s10857-021-09508-1
27,1573-1820,10.1007/s10857-022-09562-3,article,235--255,Computational thinking practices as tools for creating high cognitive demand mathematics instruction,"Kathryn M. Rich, Aman Yadav, Charles J. Fessler",2,https://doi.org/10.1007/s10857-022-09562-3,2024,10.1007/s10857-022-09562-3
27,1573-1820,10.1007/s10857-023-09590-7,article,981--1008,Assessing student teachers’ procedural fluency and strategic competence in operating and mathematizing with natural and rational numbers,Andreas Schulz,6,https://doi.org/10.1007/s10857-023-09590-7,2024,10.1007/s10857-023-09590-7
,1573-1820,10.1007/s10857-024-09642-6,article,,Development of prospective elementary teachers’ knowledge to teach early algebra through case discussions,"Nejla Öztürk-Tavşan, Işıl İşler-Baykal",,https://doi.org/10.1007/s10857-024-09642-6,2024,10.1007/s10857-024-09642-6
,1573-1820,10.1007/s10857-025-09686-2,article,,Processes of recontextualizing a curriculum reform into mathematics teacher education,"Diana Paola Piedra Moreno, Tamsin Meaney, Rune Herheim",,https://doi.org/10.1007/s10857-025-09686-2,2025,10.1007/s10857-025-09686-2
47,1573-3521,10.1007/s10865-024-00469-3,article,458--470,Investigating psychological mechanisms of self-controlled decisions for food and leisure activity,"Carrie Bailey, Seung-Lark Lim",3,https://doi.org/10.1007/s10865-024-00469-3,2024,10.1007/s10865-024-00469-3
38,1573-2851,10.1007/s10896-023-00578-8,article,1225--1241,A Systematic Review of Systems Science Approaches to Understand and Address Domestic and Gender-Based Violence,"Melissa Tracy, Li Shen Chong, Kate Strully, Elana Gordis, Magdalena Cerdá, Brandon D. L. Marshall",6,https://doi.org/10.1007/s10896-023-00578-8,2023,10.1007/s10896-023-00578-8
40,1573-4862,10.1007/s10921-020-00735-9,article,8,NDE 4.0—A Design Thinking Perspective,"Johannes Vrana, Ripudaman Singh",1,https://doi.org/10.1007/s10921-020-00735-9,2021,10.1007/s10921-020-00735-9
51,1573-8744,10.1007/s10928-022-09820-0,article,521--531,Towards a comprehensive assessment of QSP models: what would it take?,Ioannis P. Androulakis,5,https://doi.org/10.1007/s10928-022-09820-0,2024,10.1007/s10928-022-09820-0
29,1573-1839,10.1007/s10956-019-09794-8,article,189--214,Improving and Assessing Computational Thinking in Maker Activities: the Integration with Physics and Engineering Learning,"Yue Yin, Roxana Hadad, Xiaodan Tang, Qiao Lin",2,https://doi.org/10.1007/s10956-019-09794-8,2020,10.1007/s10956-019-09794-8
29,1573-1839,10.1007/s10956-019-09796-6,article,162--173,Practicing Formative Assessment for Computational Thinking in Making Environments,"Roxana Hadad, Kate Thomas, Mila Kachovska, Yue Yin",1,https://doi.org/10.1007/s10956-019-09796-6,2020,10.1007/s10956-019-09796-6
29,1573-1839,10.1007/s10956-019-09797-5,article,101--119,Balancing the Environment: Computational Models as Interactive Participants in a STEM Classroom,"Ashlyn E. Pierson, Corey E. Brady, Douglas B. Clark",1,https://doi.org/10.1007/s10956-019-09797-5,2020,10.1007/s10956-019-09797-5
29,1573-1839,10.1007/s10956-019-09798-4,article,174--188,Teacher Change Following a Professional Development Experience in Integrating Computational Thinking into Elementary Science,"Diane Jass Ketelhut, Kelly Mills, Emily Hestness, Lautaro Cabrera, Jandelyn Plane, J. Randy McGinnis",1,https://doi.org/10.1007/s10956-019-09798-4,2020,10.1007/s10956-019-09798-4
