Type of reference,First Author,Secondary Author,Tertiary Author,Subsidiary Author,Abstract,Author Address,Accession Number,Author,Location in Archives,This field maps to T2 for all reference types except for Whole Book and Unpublished Work references.,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,Custom 6,Custom 7,Custom 8,Caption,Call Number,This field can contain alphanumeric characters.,Title of unpublished reference,Place Published,Date,Name of Database,DOI,Database Provider,Editor,End Page,Edition,Reference ID,Issue number,Periodical name: user abbreviation 1.,Alternate Title,Periodical name: standard abbreviation.,Journal name,Keywords,Link to PDF.,Link to Full-text.,Related Records.,Image(s).,Language,Label,Website Link,Number,Miscellaneous 2.,Type of Work,Notes,Abstract.,Number of Volumes,Original Publication,Publisher,Publishing Place,Publication year (YYYY/MM/DD),Reviewed Item,Research Notes,Reprint Edition,Section,ISBN/ISSN,Start Page,Short Title,Primary Title,Secondary Title,Tertiary Title,Translated Author,Title,Translated Title,User definable 1.,User definable 2.,User definable 3.,User definable 4.,User definable 5.,URL,Volume number,Published Standard number,Primary Date,Access Date,End of Reference,""
JOUR ,,,,,"Computational thinking, a critical cognitive process from computer science, has gained prominent role in various academic domains, particularly mathematics. It involves problem decomposition, pattern recognition, algorithmic thinking, and abstraction. While previous studies have extensively explored computational thinking at the primary and secondary education levels, there is a noticeable gap in studies focused on pre-service teachers. This study seeks to bridge that gap by analyzing the computational thinking skills of pre-service elementary teachers in Riau, Indonesia. The research employs a quantitative approach, utilizing non-parametric tests to examine the influence of different variables, including gender, high school major, admission process, and year of study. A sample of 244 pre-service elementary teachers from the Elementary Teacher Education at a Public University in Riau, Indonesia, participated in the study, with data collected through a validated test comprising 22 questions based on computational thinking frameworks. The findings reveal significant differences in computational thinking skills based on the admission process and high school major. However, no significant differences were evident concerning gender and academic cohorts. These results provide valuable insights into the program to support pre-service elementary teachers’ computational thinking through curriculum development in this area. ",,,"Mohd. Jamil, Mohd. Ridhuan ",,,,,,,,,,,,,,,,2025/02/14 ,,10.1007/s10639-025-13429-4 ,,,,,Putra2025 ,,,,,Education and Information Technologies ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-7608 ,,,,,,,"The effect of gender, high school major, admission process, and year of study towards pre-service elementary teachers' computational thinking skills ",,,,,,,https://doi.org/10.1007/s10639-025-13429-4 ,,,,,   ,
JOUR ,,,,,"Although proponents of digital game-based learning (DGBL) argue that educational games engage students and afford better learning outcomes, the impact of specific game elements on computational thinking (CT) outcomes and motivation remains unclear. Research suggests that different game elements in DGBL may elicit varying levels of motivation and affect outcomes. In a digital game designed for CT learning, this study examined the complex relationship among rewards, competition, motivation, and learning outcomes. Data were collected from 216 secondary school students across ten different classes, who were randomly assigned to one of five conditions: power-up rewards with competition, power-up rewards only, customization rewards with competition, customization rewards only, and a control condition with no rewards or competition. Regression analysis revealed that power-up rewards impacted CT learning indirectly by reducing tension, although they did not directly influence motivation or CT outcomes. Customization rewards showed no significant effects on motivation or CT outcomes. Although competition alone did not significantly influence motivation or CT outcomes, its combination with power-up rewards weakened CT outcomes compared with power-up rewards alone without competition. The study suggests that competition may dilute the positive effects of rewards, emphasizing the need for careful integration of reward structures in DGBL. The study provides valuable insights for designing DGBL interventions that balance rewards and competition while minimizing tension to achieve optimal learning outcomes. ",,,"Krautinger, Hannah ",,,,,,,,,,,,,,,,2025/02/28 ,,10.1007/s10639-025-13444-5 ,,,,,Chen2025 ,,,,,Education and Information Technologies ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-7608 ,,,,,,,Impact of rewards in a digital game on computational thinking: Mediation by tension and moderation by competition ,,,,,,,https://doi.org/10.1007/s10639-025-13444-5 ,,,,,   ,
JOUR ,,,,,"The emergence of generative AI tools like ChatGPT has sparked investigations into their applications in teaching and learning. In computer programming education, efforts are underway to explore how this tool can enhance instructional practices. Despite the growing literature, there is a lack of synthesis on its use in this field. This rapid review addresses this gap by examining the current literature to outline research trends, assess how it supports teaching and learning processes, and discern the issues that emerge from its application in programming instruction. A total of 107 documents disseminated across 81 distinct sources and authored by 394 contributors were identified. The review adopted a broad and inclusive approach, selecting literature based on relevance to ChatGPT's application in programming education and encompassing studies from diverse settings and methodologies. Results highlight applications such as personalized tutoring, knowledge reinforcement, instructional material creation, source code generation, immediate feedback, and assessment support. However, its use also introduces challenges such as academic dishonesty, ethical dilemmas, diminished critical thinking, overdependence on ChatGPT, and various technical limitations. Considering these findings, a balanced approach to the utilization of ChatGPT in programming education is essential. Implications and recommendations have been provided to guide policymakers, curriculum designers, teachers, and students in harnessing the benefits of this technology while mitigating potential challenges. ",,,"Garcia, Manuel B. ",,,,,,,,,,,,,,,,2025/03/01 ,,10.1007/s10639-025-13452-5 ,,,,,Garcia2025 ,,,,,Education and Information Technologies ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-7608 ,,,,,,,Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies ,,,,,,,https://doi.org/10.1007/s10639-025-13452-5 ,,,,,   ,
JOUR ,,,,,"Computational Thinking (CT) is recognised as an essential foundational skill that enhances problem-solving abilities and is a crucial learning area for effective engagement in an increasingly digital society. This paper highlights the significance of screen-less tangible tools in promoting young children’s exploration and open-ended play with technology and their exposure to CT, which adults can further support. It presents a design-led investigation involving 16 children (approximately 18 to 36 months old) and their caregivers, examining their interactions with a novel digital technology probe, ‘Embeddables.’ We aimed to explore how new types of interactions in CT tools can be developed to embody CT experiences in diverse ways. The Embeddable probes are multi-modal plush tools that respond when proximally to each other. In our study, we introduced Embeddables at an Australian children’s museum to observe how young children engaged with them. Our analysis highlights the features of the CT technology probes that foster new opportunities for social and open-ended play, paving the way for digitally enhanced experiences that embody Computational Thinking and related skills. Our discussion revolves around the potential for CT with young children in playful environments, focusing on how the design features of tools facilitate this process. ",,,"Wyeth, Peta ",,,,,,,,,,,,,,,,2025/03/10 ,,10.1007/s10639-025-13468-x ,,,,,Matthews2025 ,,,,,Education and Information Technologies ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-7608 ,,,,,,,Computational thinking tools for early years education: a design study ,,,,,,,https://doi.org/10.1007/s10639-025-13468-x ,,,,,   ,
JOUR ,,,,,"This study aimed to evaluate the role of AI in preschool from the perspective of preschool teachers. The research group consisted of 101 preschool teachers. The study group was selected according to the easily accessible case sampling method, one of the purposeful sampling methods. The study was a phenomenology, which is a qualitative research design. Qualitative data were collected using a semi-structured interview form. Data were analyzed using inductive content analysis. As a result of the analyses, the participants stated they did not feel sufficient regarding Al literacy and competencies. The participants also emphasized that using AI in preschool was appropriate and would improve children’s skills, such as AI literacy and computational thinking. Moreover, they stated that using AI in preschool would cause privacy and security concerns for different reasons, such as not protecting personal data, using children’s pictures, and providing false and misleading information. The participants stated that they were worried about the implementation process of Al due to lack of content knowledge, lack of infrastructure, physical structure of the classroom, and lack of materials. In addition, participants emphasized that if the existing concerns were eliminated, AI could be easily integrated into the preschool period. In addition, it was determined that most participants had problems in modeling and drawing a model related to AI. ",,,"Yıldırım, Bekir ",,,,,,,,,,,,,,,,2025/03/11 ,,10.1007/s10639-025-13478-9 ,,,,,Kölemen2025 ,,,,,Education and Information Technologies ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-7608 ,,,,,,,A new era in early childhood education (ECE): Teachers’ opinions on the application of artificial intelligence ,,,,,,,https://doi.org/10.1007/s10639-025-13478-9 ,,,,,   ,
JOUR ,,,,,"In this research we explore the extent to which computational thinking (CT) is evident in 3–6 year-old children's free play. CT is increasingly viewed as an important aspect of a child’s school learning. Typically, CT is connected to learning with computers. Yet, much of learning in the early years is play-based, spontaneous, often learner-initiated, and without technology. Teacher engagement with young learners is important in supporting learning, understanding what learners know, and also in potentially advancing a learner’s understanding. The relative newness of CT for many teachers suggests that teachers may not recognize CT during play. We used several frameworks to examine CT. Video clips and images of children in the classroom setting were examined by the researchers and teachers to identify instances of CT. Evidence of CT was found in children’s free play. Implications for early years’ teachers are discussed. ",,,"Makosz, Samantha ",,,,,,,,,,,,,,,,2022/04/01 ,,10.1007/s10643-021-01188-z ,,,708 ,,Kotsopoulos2022 ,4 ,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2022 ,,,,,1573-1707 ,699 ,,,,,,Noticing and Naming Computational Thinking During Play ,,,,,,,https://doi.org/10.1007/s10643-021-01188-z ,50 ,,,,   ,
JOUR ,,,,,"Guided play activities were developed so that coding clubs could promote computational thinking skills in preschool children. The clubs involved fifteen children aged between 2 and 4 years,  including a group of children with communication difficulties. The children took part in an action-research scoping study over three coding clubs involving six 45–60-min sessions. The activities were developed to teach computational skills and, ultimately, concepts of programming and coding. The findings suggested that the children began to develop many of the skills necessary for programming and coding as well as computational thinking skills such as collaboration, logical thinking and debugging algorithms. However, they found programming specific algorithms into Bee-Bots complicated and they needed support from adults to direct the robots along routes on simple maps. Overall, the guided play activities could be used in nurseries and preschool establishments to teach early computational thinking skills. ",,,"Messer, David ",,,,,,,,,,,,,,,,2022/08/01 ,,10.1007/s10643-021-01236-8 ,,,981 ,,Critten2022 ,6 ,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2022 ,,,,,1573-1707 ,969 ,,,,,,Can Pre-school Children Learn Programming and Coding Through Guided Play Activities? A Case Study in Computational Thinking ,,,,,,,https://doi.org/10.1007/s10643-021-01236-8 ,50 ,,,,   ,
JOUR ,,,,,"This is a conceptual paper based on existing literature aiming to provide practical information on designing and implementing activities to promote children’s computational thinking. Computational thinking is a relatively new term in early childhood education that refers to a specific problem-solving thinking process involving various logical and analytical thinking skills. Four foundational skills have been identified as core thinking skills of computational thinking: decomposition, abstraction, pattern recognition, and algorithm. We explain these four skills in this paper and their practical applications to teaching and learning in early childhood education. Early computational thinking skills are found in common early childhood activities. This paper identifies activities teachers can use in the classroom to explicitly promote children’s computational thinking and provides a new perspective on how to adapt classroom activities to integrate computational thinking. In particular, we emphasize the need to vary the demands of the content in the activity and incorporate computational thinking based on children’s needs and development to ensure that children progress through the thinking process. ",,,"Pole, Kathryn ",,,,,,,,,,,,,,,,2023/03/01 ,,10.1007/s10643-022-01319-0 ,,,468 ,,Lee2023 ,3 ,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2023 ,,,,,1573-1707 ,457 ,,,,,,Classroom Play and Activities to Support Computational Thinking Development in Early Childhood ,,,,,,,https://doi.org/10.1007/s10643-022-01319-0 ,51 ,,,,   ,
JOUR ,,,,,"Researchers are increasingly calling for more computational thinking (CT) teaching tools and activities designed for young children. Considering young children’s need to draw on their bodily experiences to learn abstract concepts, this study applied the embodied cognition perspective to design an unplugged (non-computer-based) toolkit with activities that foster CT. This study aimed to explore young children’s experiences in unplugged activities. Specifically, children’s perceptions about the activities were investigated, and their embodied interactions during the activities were analyzed to reveal how CT emerges as an embodied phenomenon. Results indicate that children had positive perceptions about the activities. In addition, young children’s algorithmic thinking and debugging emerged most frequently. Furthermore, this study found that CT extended to both the unplugged toolkit and children’s bodies and emerged in perception-action loops. This research provides insight into the instructional design of young children’s CT and helps researchers understand how young children develop CT from an embodied cognition perspective. ",,,"Li, Yanyan ",,,,,,,,,,,,,,,,2024/04/01 ,,10.1007/s10643-023-01475-x ,,,782 ,,Hu2024 ,4 ,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-1707 ,769 ,,,,,,Young Children’s Experience in Unplugged Activities About Computational Thinking: From an Embodied Cognition Perspective ,,,,,,,https://doi.org/10.1007/s10643-023-01475-x ,52 ,,,,   ,
JOUR ,,,,,"Computational thinking (CT) is an important twenty-first century skill that begins developing early. Recent interest in incorporating early CT experiences in early childhood education (i.e., preschool) has increased. In fact, the early years mark an important time during which initial competencies are acquired, interest and motivation begins to form, and in which children may develop a sense of belonging in STEM fields. As a result, providing children with access to robotics and computer science experiences to support CT that are also developmentally appropriate and culturally relevant is key. This paper uses the “powerful ideas” of computer science, seven developmentally appropriate CT concepts that children can learn, as a framework and explores the experiences of two (composite) teachers who participated in and co-developed a culturally relevant robotics program and the processes they undertake to support children’s CT development and learning. This paper considers practices that support the seven key powerful ideals while leveraging existing instructional routines and contexts that are already occurring in most classrooms, such as centers, small group activities, classroom environments, and read-alouds. Of note, this paper prioritizes approaches that acknowledge, center, and feature the ethnic, cultural, and linguistic backgrounds of young children and their families. Identifying affordable and accessible practices, this paper provides educators with tangible, integrated, and authentic practices to support children’s computational thinking, STEM learning, and sense of belonging. ",,,"Harper, Frances K. ",,,,,,,,,,,,,,,,2025/02/01 ,,10.1007/s10643-023-01581-w ,,,403 ,,Quinn2025 ,2 ,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-1707 ,393 ,,,,,,Embracing Culturally Relevant Computational Thinking in the Preschool Classroom: Leveraging Familiar Contexts for New Learning ,,,,,,,https://doi.org/10.1007/s10643-023-01581-w ,53 ,,,,   ,
JOUR ,,,,,"Educators and researchers are becoming interested in cultivating computational thinking (CT). However, in the Hong Kong context, CT-related studies regarding young children are rarely found. The present study aimed to use an unplugged digital arts activity to examine the CT concepts that children performed and document their CT developmental trajectories. Constructionism theory highlights the importance of children engaging in hands-on activities and developing independent thinking skills. Meanwhile, social constructivism theory emphasizes the role of teachers as scaffolders, supporting children in their learning processes. A sample of children (N = 27, aged 3–6) was recruited from a nursery school in Hong Kong to participate in an animation art workshop. A total of 540 min of video data was recorded and collected for content analysis. The teaching team (N = 4) for this workshop were invited to write up their reflective journals, capturing their observations of the scaffolding strategies employed and their perspectives on how children at various levels demonstrated their understanding of CT concepts throughout the entire process. Within an analytical framework based on powerful ideas, the findings from the observations and field notes revealed that the children’s CT concepts and practices could be linked with the CT conceptual framework. In this study, older children showed a sophisticated competency and a more complicated mind structure in terms of the CT concept. Our findings highlight the importance of designing an age-appropriate curriculum for nurturing the computational thinking of young children through animation art. ",,,"Ng, Oi-Lam ",,,,,,,,,,,,,,,,2024/06/11 ,,10.1007/s10643-024-01694-w ,,,,,Leung2024 ,,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-1707 ,,,,,,,Examining Young Children’s Computational Thinking through Animation Art ,,,,,,,https://doi.org/10.1007/s10643-024-01694-w ,,,,,   ,
JOUR ,,,,,"The domain of early childhood education has witnessed an increasing emphasis on developing coding and computational thinking (CT) abilities. Scholarly investigations have delved into appropriate approaches for enhancing these proficiencies within early childhood classrooms. The present study aims to investigate the impact of a digital story design program, or Design-Based Digital Story Program (DBDS), on the coding and CT skills of 5-year-old children. Specifically designed for children aged 3–6, the DBDS program aligns with constructivism principles, which promote experiential learning. Employing a case–control quasi-experimental design, the study employed pre-intervention and post-intervention assessments and a follow-up retest after one month. The intervention involved implementing the digital story design program over 11 weeks, with three sessions per week, each lasting between 60 to 90 min, targeting five-year-old participants. The findings reveal that the DBDS program significantly enhances CT and coding skills compared to a control group. Moreover, female participants exhibited more significant improvements in CT skills post-intervention than their male counterparts, while no significant gender-based effects were observed in coding skills. These findings suggest that the DBDS program effectively supports the cultivation of coding and CT abilities among young children, warranting further exploration in diverse educational settings and across various grade levels. ",,,"Bilir, Büşra ",,,,,,,,,,,,,,,,2024/08/23 ,,10.1007/s10643-024-01728-3 ,,,,,Metin2024 ,,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-1707 ,,,,,,,Design-Based Digital Story Program: Enhancing Coding and Computational Thinking Skills in Early Childhood Education ,,,,,,,https://doi.org/10.1007/s10643-024-01728-3 ,,,,,   ,
JOUR ,,,,,"With the increase of computational thinking (CT) tools in education, there are questions as to whether and how CT might support and/or hinder algebraic thinking of young children. Utilizing seeds of algebraic thinking, we add to this scholarly discussion by presenting examples from a CT activity with four-year old children in which we illustrate how young children are engaged in early algebraic thinking. More specifically, we highlight children’s pre-instructional engagement with replacement, a precursor to the concept of variable. The included examples add to our limited scholarship regarding young children’s (i.e., ages 3 to 5 years) early development of algebraic thinking of replacement through an unplugged activity that can be implemented within multiple learning environments within children’s larger STEM ecosystem. ",,,"Hu, Zhengqi ",,,,,,,,,,,,,,,,2024/08/28 ,,10.1007/s10643-024-01746-1 ,,,,,Simpson2024 ,,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-1707 ,,,,,,,Unplugged: Planting and Growing the Seed of Replacement in Four-Year Old-Children ,,,,,,,https://doi.org/10.1007/s10643-024-01746-1 ,,,,,   ,
JOUR ,,,,,"Computational thinking CT is central to computer science, yet there is a gap in the literature on the best ways to implement CT in early childhood classrooms. The purpose of this qualitative study was to explore how early childhood teachers enacted asset-based pedagogies while implementing CT in their classrooms. We followed a group of 28 early childhood educators who began with a summer institute and then participated in multiple professional learning activities over one year. Examining a subset of the larger group, findings illustrate how teachers intentionally created learning communities that empowered students and utilized their expertise to guide CT learning in their classrooms. Teachers recognized that asset-based approaches to CT instruction empowered not just their students but also themselves. By using asset-based CT pedagogies, early childhood teachers can better support students from marginalized communities, reducing achievement gaps and inequities in digital learning. ",,,"Justice, Sean ",,,,,,,,,,,,,,,,2024/12/21 ,,10.1007/s10643-024-01825-3 ,,,,,Assaf2024 ,,,,,Early Childhood Education Journal ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-1707 ,,,,,,,Asset-Based Computational Thinking in Early Childhood Classrooms: Centering Students’ Expertise in a Community of Learners ,,,,,,,https://doi.org/10.1007/s10643-024-01825-3 ,,,,,   ,
JOUR ,,,,,"Our purpose in this article is to forward a narrative of valued thinking in education—a narrative that has long been strongly influenced by Western philosophy and scientific psychology. Specifically, we begin by examining the philosophical forebearers of valued thinking, including theories such as rationalism, empiricism, and pragmatism. We follow these philosophical roots into the burgeoning mid-life of introspection, positivism, and the cognitive revolution that made way for mental-focused conceptualizations of valued thinking (e.g., higher-order thinking, critical thinking, or critical-analytic thinking). In sharing this narrative, we also hope to draw attention to the ways in which the voices of White, predominantly male scholars, past and present, have dominated understandings of valued thinking. As we turn to the final section and the possible future of valued thinking, we humbly overview two theoretical perspectives that liberate prevailing epistemic notions and center critical aspects of valued thinking. ",,,"Schoute, Eric C. ",,,,,,,,,,,,,,,,2023/03/14 ,,10.1007/s10648-023-09754-0 ,,,,,Murphy2023 ,1 ,,,,Educational Psychology Review ,,,,,,,,,,,,,,,,,,2023 ,,,,,1573-336X ,35 ,,,,,,“Valued” Thinking in Education: Liberating the Narrative ,,,,,,,https://doi.org/10.1007/s10648-023-09754-0 ,35 ,,,,   ,
JOUR ,,,,,"Our technological, information-rich society thrives because of scientific thinking. However, a comprehensive theory of the development of scientific thinking remains elusive. Building on previous theoretical and empirical work in conceptual change, the role of credibility and plausibility in evaluating scientific evidence and claims, science engagement, active learning in STEM education, and the development of empirical thinking, we chart a pathway toward a comprehensive theory of the development of scientific thinking as an example of theory building in action. We detail the structural similarity and progressive transformation of our models and perspectives, highlighting factors for incorporation into a novel theory. This theory will focus on beneficial outcomes of a more collaborative scientific community and increasing scientific literacy through deeper science understanding for all people. ",,,"Butler, Lucas P. ",,,,,,,,,,,,,,,,2024/07/05 ,,10.1007/s10648-024-09911-z ,,,,,Lombardi2024 ,3 ,,,,Educational Psychology Review ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-336X ,72 ,,,,,,Seeking a Comprehensive Theory About the Development of Scientific Thinking ,,,,,,,https://doi.org/10.1007/s10648-024-09911-z ,36 ,,,,   ,
JOUR ,,,,,"Little is known about the cognitive effort associated with algebraic activity in the elementary and middle school grades. However, this investigation is significant for sensitizing teachers and researchers to the mental demands of algebra learning. In this paper, we focus on the relationship between algebraic thinking and domain-general cognitive abilities. The sample of the study comprised 591 students from grades 4 to 7. The students’ abilities in algebraic thinking were assessed through a test that involved three task categories: generalized arithmetic, functional thinking, and modelling languages. Test batteries were used to assess students’ domain-general cognitive abilities in terms of analogical, serial, spatial, and deductive reasoning. The results of structural equation modelling analysis indicated that (a) analogical reasoning predicts students’ abilities only in generalized arithmetic; (b) serial reasoning predicts students’ abilities only in generalized arithmetic; (c) spatial reasoning predicts students’ abilities in functional thinking and modelling languages; and (d) deductive reasoning predicts students’ abilities in all three categories. Differences between students across grades are also discussed. ",,,"Christou, Constantinos ",,,,,,,,,,,,,,,,2023/09/01 ,,10.1007/s10649-023-10218-z ,,,108 ,,Chimoni2023 ,1 ,,,,Educational Studies in Mathematics ,,,,,,,,,,,,,,,,,,2023 ,,,,,1573-0816 ,89 ,,,,,,Unfolding algebraic thinking from a cognitive perspective ,,,,,,,https://doi.org/10.1007/s10649-023-10218-z ,114 ,,,,   ,
JOUR ,,,,,"The mathematics education literature indicates a consensus regarding the importance of developing algebraic thinking in elementary school mathematics. However, the approaches used to implement this concept vary around the world. This study examines how a popular standards-based elementary mathematics textbook series in China provides opportunities to learn about functional thinking, which is a key component of algebraic thinking. Building on the literature, an analytical framework was generated to examine the features of function-related tasks in the textbook series across grades. The results of the fine-grained coding analysis show that four categories of function-related tasks in the textbook provide opportunities to learn about multi-modes of functional thinking. These tasks primarily serve to enhance arithmetic learning, while offering opportunities to learn about functional thinking as an embedded component. Elaborated design and arrangement of the function tasks promote opportunities to learn about multiple modes of functional thinking. In addition, two pathways to support the development of functional thinking are identified. Finally, the implications for task design and textbook development which attempt to develop functional thinking are discussed. ",,,"Deng, Xixi ",,,,,,,,,,,,,,,,2023/10/01 ,,10.1007/s10649-023-10237-w ,,,248 ,,Ding2023 ,2 ,,,,Educational Studies in Mathematics ,,,,,,,,,,,,,,,,,,2023 ,,,,,1573-0816 ,223 ,,,,,,Multiple pathways for developing functional thinking in elementary mathematics textbooks: a case study in China ,,,,,,,https://doi.org/10.1007/s10649-023-10237-w ,114 ,,,,   ,
JOUR ,,,,,"Developing students’ competence in algorithmic thinking is emerging as an objective of mathematics education, but despite its inclusion in mathematics curricula around the world, research into students’ algorithmic thinking seems to be falling behind in this curriculum reform. The aim of this study was to investigate how the mathematical modelling process can be used as a vehicle for eliciting students’ algorithmic thinking. To achieve this aim, a generative study was conducted using task-based interviews with year 12 students (n = 8) to examine how they used the mathematical modelling process to design an algorithm that solved a minimum spanning tree problem. I observed each students’ modelling process and analysed how the task elicited the cognitive skills of algorithmic thinking. The findings showed that the students leveraged their mathematical modelling competencies to formulate a model of the problem using abstraction and decomposition, designed their algorithms by devising a fundamental operation to transform inputs into outputs during the working mathematically transition, and debugged their algorithms during the validating transition. Implications for practice are discussed. ",,,"Lehmann, Timothy H. ",,,,,,,,,,,,,,,,2024/02/01 ,,10.1007/s10649-023-10275-4 ,,,176 ,,Lehmann2024 ,2 ,,,,Educational Studies in Mathematics ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-0816 ,151 ,,,,,,Mathematical modelling as a vehicle for eliciting algorithmic thinking ,,,,,,,https://doi.org/10.1007/s10649-023-10275-4 ,115 ,,,,   ,
JOUR ,,,,,"An important approach for developing children’s algebraic thinking involves introducing them to generalized arithmetic at the time they are learning arithmetic. Our aim in this study was to investigate children’s attention to and expression of generality with the subtraction-compensation property, as evidence of a type of algebraic thinking known as relational thinking. The tasks involved subtraction modelled as difference and comparing the heights of towers of blocks. In an exploratory qualitative study, 22 middle primary (9–11-year-old) students from two schools participated in individual videoed interviews. The tasks were designed using theoretical perspectives on embodied visualization and concreteness fading to provide multiple opportunities for the students to make sense of subtraction as difference and to advance their relational thinking. Twelve out of 22 students evidenced conceptual understanding of the comparison model of subtraction (subtraction as difference) and expression of the compensation property of equality. Four of these students repeatedly evidenced relational thinking for true/false tasks and open equivalence tasks. A proposed framework for levels of attention to/expression of generality with the subtraction-compensation property is shared and suggestions for further research are presented. ",,,"Hopkins, Sarah ",,,,,,,,,,,,,,,,2024/03/01 ,,10.1007/s10649-024-10303-x ,,,458 ,,Wilkie2024 ,3 ,,,,Educational Studies in Mathematics ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-0816 ,433 ,,,,,,Generalizing actions with the subtraction-compensation property: primary students’ algebraic thinking with tasks involving vertical towers of blocks ,,,,,,,https://doi.org/10.1007/s10649-024-10303-x ,115 ,,,,   ,
JOUR ,,,,,"Sampling distributions are fundamental for statistical inference, yet their abstract nature poses challenges for students. This research investigates the development of high school students’ conceptions of sampling distribution through informal significance tests with the aid of digital technology. The study focuses on how technological tools contribute to forming these conceptions, guided by an emerging theory that describes this process. A workshop for high school students was organized, involving 36 participants working in pairs across four sessions, each with access to a computer. These sessions involved problem-solving activities, with the teacher introducing key concepts in the initial three sessions. The analysis, employing grounded theory, aimed to characterize the nature of students’ conceptions of sampling distribution as evident in their responses. The findings reveal a transition from empirical to informal conceptions of sampling distribution among students, facilitated by computational mediation. This transition is marked by an abstraction process that includes mathematization, processing, uncertainty/randomness, and conditional reasoning. The study underscores the role of digital simulations in teaching statistical concepts, facilitating students’ conceptual shift critical for grasping statistical inference. ",,,"Sepúlveda, Francisco ",,,,,,,,,,,,,,,,2024/10/01 ,,10.1007/s10649-024-10330-8 ,,,238 ,,Sánchez2024 ,2 ,,,,Educational Studies in Mathematics ,,,,,,,,,,,,,,,,,,2024 ,,,,,1573-0816 ,215 ,,,,,,Development of high school students’ conceptions of sampling distribution in the context of learning significance tests with technology ,,,,,,,https://doi.org/10.1007/s10649-024-10330-8 ,117 ,,,,   ,
JOUR ,,,,,"Many students persistently misinterpret histograms. This calls for closer inspection of students’ strategies when interpreting histograms and case-value plots (which look similar but are different). Using students’ gaze data, we ask: How and how well do upper secondary pre-university school students estimate and compare arithmetic means of histograms and case-value plots? We designed four item types: two requiring mean estimation and two requiring means comparison. Analysis of gaze data of 50 students (15–19 years old) solving these items was triangulated with data from cued recall. We found five strategies. Two hypothesized most common strategies for estimating means were confirmed: a strategy associated with horizontal gazes and a strategy associated with vertical gazes. A third, new, count-and-compute strategy was found. Two more strategies emerged for comparing means that take specific features of the distribution into account. In about half of the histogram tasks, students used correct strategies. Surprisingly, when comparing two case-value plots, some students used distribution features that are only relevant for histograms, such as symmetry. As several incorrect strategies related to how and where the data and the distribution of these data are depicted in histograms, future interventions should aim at supporting students in understanding these concepts in histograms. A methodological advantage of eye-tracking data collection is that it reveals more details about students’ problem-solving processes than thinking-aloud protocols. We speculate that spatial gaze data can be re-used to substantiate ideas about the sensorimotor origin of learning mathematics. ",,,"Drijvers, Paul ",,,,,,,,,,,,,,,,2025/03/01 ,,10.1007/s10649-024-10351-3 ,,,503 ,,Boels2025 ,3 ,,,,Educational Studies in Mathematics ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-0816 ,479 ,,,,,,Secondary school students’ strategies when interpreting histograms and case-value plots: an eye-tracking study ,,,,,,,https://doi.org/10.1007/s10649-024-10351-3 ,118 ,,,,   ,
JOUR ,,,,,"In this paper, we are interested in a dynamic vision of diagrams, focusing on their evocative power, their force in mathematical activity and their potential for interaction with mathematical objects. We are inspired by the work of C. S. Pierce to see diagrams as inscriptions that organise space and articulate relations and that of the philosopher of mathematics G. Châtelet that emphasises diagrams as the very means of ontogenesis. In particular, diagrams are sophisticated mathematical devices for thinking about and communicating mathematics. They have stories and purposes. Focus is on the use of diagrams in the mathematics classroom to tell stories in order to trigger narrative modes of thinking (a là Bruner) as part of the mathematical work. Through some examples from the written productions of students at different ages, we examine how the task of telling a story about a given diagram gives rise to multiple views of the diagram. We use this analysis to begin characterising ways in which the mathematical relationships embedded in a diagram acquire a character that is both affective and aesthetic and to suggest implications of such use of diagrams in and for mathematics education. ",,,"Ferrari, Giulia ",,,,,,,,,,,,,,,,2025/01/30 ,,10.1007/s10649-024-10383-9 ,,,,,Ferrara2025 ,,,,,Educational Studies in Mathematics ,,,,,,,,,,,,,,,,,,2025 ,,,,,1573-0816 ,,,,,,,Telling the story of a diagram: affective and aesthetic mathematical experiences ,,,,,,,https://doi.org/10.1007/s10649-024-10383-9 ,,,,,   ,
